tracking_id,datetime,windmill_generated_power(kW/h)
WM_28386,2019-06-24 20:03:20,8.741699
WM_198,2018-10-30 06:33:20,9.392453
WM_10525,2019-01-21 14:03:20,3.736878
WM_11900,2019-02-01 21:03:20,11.95014
WM_18459,2019-03-27 07:03:20,3.809327
WM_33737,2019-08-04 16:33:20,6.2490582
WM_1851,2018-11-14 08:03:20,2.4273655
WM_21673,2019-05-05 04:43:20,4.6063643
WM_6566,2018-12-24 07:23:20,9.555161
WM_36845,2019-08-27 01:53:20,2.8829372
WM_7916,2019-01-02 19:43:20,12.215974
WM_27896,2019-06-21 06:43:20,5.784403
WM_21392,2019-05-02 11:33:20,3.3977911
WM_27683,2019-06-19 18:13:20,4.614345
WM_8769,2019-01-08 22:13:20,3.5219052
WM_30312,2019-07-08 17:53:20,5.2986274
WM_29472,2019-07-02 16:43:20,4.3298736
WM_3189,2018-11-27 06:33:20,8.883544
WM_18130,2019-03-24 20:13:20,6.213981
WM_36279,2019-08-23 02:23:20,8.318902
WM_28062,2019-06-22 12:03:20,5.119371
WM_20790,2019-04-28 07:03:20,2.6174996
WM_18167,2019-03-25 02:43:20,5.5417075
WM_1118,2018-11-08 18:03:20,15.453373
WM_23657,2019-05-19 06:23:20,3.8248498
WM_37530,2019-09-02 20:23:20,7.100126
WM_29981,2019-07-06 08:03:20,4.0505505
WM_40227,2019-09-22 20:43:20,7.544096
WM_1525,2018-11-11 23:43:20,6.6167727
WM_2323,2018-11-17 16:13:20,3.0042777
WM_19419,2019-04-07 21:43:20,6.839197
WM_18221,2019-03-25 13:43:20,4.2628303
WM_22827,2019-05-13 10:53:20,2.4896593
WM_37941,2019-09-05 16:53:20,5.253563
WM_18696,2019-03-29 17:43:20,3.4055579
WM_39197,2019-09-14 22:33:20,7.546547
WM_13378,2019-02-12 12:13:20,6.5519304
WM_29514,2019-07-02 23:53:20,8.034624
WM_20666,2019-04-27 10:23:20,3.321302
WM_1354,2018-11-10 17:43:20,3.111183
WM_39840,2019-09-19 10:03:20,3.2764564
WM_12741,2019-02-07 19:23:20,5.6185784
WM_11752,2019-01-31 20:03:20,10.574825
WM_2001,2018-11-15 10:03:20,4.681133
WM_19586,2019-04-09 05:13:20,3.876891
WM_25038,2019-05-29 23:23:20,5.689276
WM_39554,2019-09-17 10:23:20,2.2474477
WM_12904,2019-02-08 23:03:20,6.287544
WM_36694,2019-08-26 00:23:20,6.4803343
WM_34522,2019-08-10 06:23:20,3.7221234
WM_8354,2019-01-05 22:33:20,10.15389
WM_677,2018-11-05 06:43:20,2.4398162
WM_25764,2019-06-05 13:13:20,4.8114386
WM_16078,2019-03-06 10:13:20,10.320844
WM_7290,2018-12-29 10:23:20,10.471625
WM_18298,2019-03-26 04:13:20,2.9208298
WM_22074,2019-05-07 23:43:20,6.638099
WM_28715,2019-06-27 04:43:20,7.083881
WM_24669,2019-05-26 11:43:20,4.45199
WM_27581,2019-06-18 21:13:20,7.906187
WM_4217,2018-12-04 23:53:20,5.7975793
WM_1060,2018-11-08 08:03:20,2.848091
WM_11788,2019-02-01 02:03:20,7.924125
WM_5520,2018-12-16 11:03:20,7.4990416
WM_13297,2019-02-11 21:03:20,3.2241523
WM_14468,2019-02-20 15:33:20,8.5164385
WM_38965,2019-09-13 00:03:20,6.8497143
WM_33740,2019-08-04 17:03:20,5.4537654
WM_24325,2019-05-23 22:13:20,6.5462475
WM_7300,2018-12-29 12:03:20,9.6812935
WM_25751,2019-06-05 10:53:20,4.75968
WM_4599,2018-12-07 19:13:20,8.1784935
WM_13819,2019-02-15 19:23:20,9.377509
WM_1400,2018-11-11 02:03:20,4.91086
WM_5810,2018-12-18 13:03:20,8.282387
WM_31877,2019-07-19 21:53:20,7.211284
WM_6638,2018-12-24 19:43:20,10.379998
WM_21861,2019-05-06 12:13:20,4.4300017
WM_38854,2019-09-12 05:33:20,8.481122
WM_35192,2019-08-14 23:03:20,6.849872
WM_15524,2019-02-28 18:13:20,10.768018
WM_39762,2019-09-18 21:03:20,7.579984
WM_1677,2018-11-13 01:23:20,3.5452335
WM_30487,2019-07-10 01:03:20,7.6461706
WM_28108,2019-06-22 19:53:20,7.7149096
WM_1173,2018-11-09 04:33:20,3.3703573
WM_38104,2019-09-06 20:03:20,7.641995
WM_33708,2019-08-04 11:43:20,5.1498485
WM_5710,2018-12-17 19:43:20,5.0403624
WM_9131,2019-01-11 11:43:20,6.70189
WM_27368,2019-06-17 08:33:20,2.9535322
WM_6290,2018-12-22 02:23:20,8.324908
WM_39569,2019-09-17 12:53:20,4.5123134
WM_4462,2018-12-06 19:33:20,8.697474
WM_18269,2019-03-25 23:23:20,3.004409
WM_20718,2019-04-27 19:03:20,4.43498
WM_9069,2019-01-11 01:23:20,7.4405923
WM_40064,2019-09-21 17:33:20,8.273189
WM_18319,2019-03-26 07:43:20,6.368352
WM_19859,2019-04-17 16:13:20,5.0263147
WM_8317,2019-01-05 16:23:20,7.040139
WM_37997,2019-09-06 02:13:20,6.6356144
WM_27496,2019-06-18 06:33:20,5.5188613
WM_35835,2019-08-20 00:13:20,5.6102223
WM_25495,2019-06-02 18:53:20,4.3520017
WM_6754,2018-12-25 15:03:20,13.333248
WM_8914,2019-01-09 23:03:20,3.5809283
WM_3385,2018-11-28 15:43:20,2.6417885
WM_22206,2019-05-08 22:13:20,4.2031097
WM_18913,2019-04-03 21:33:20,3.2193015
WM_19326,2019-04-07 06:03:20,3.2309096
WM_23644,2019-05-19 04:13:20,6.6994286
WM_9260,2019-01-12 09:23:20,2.5890403
WM_10714,2019-01-23 06:13:20,9.205456
WM_16480,2019-03-09 07:23:20,7.7348714
WM_16011,2019-03-05 21:43:20,5.7149715
WM_5670,2018-12-17 13:03:20,6.5323515
WM_10261,2019-01-19 17:43:20,12.914523
WM_13790,2019-02-15 14:33:20,8.659039
WM_9508,2019-01-14 03:33:20,7.2148113
WM_22379,2019-05-10 04:13:20,3.1247013
WM_3630,2018-11-30 09:33:20,8.616621
WM_10125,2019-01-18 18:13:20,11.654517
WM_3133,2018-11-26 20:53:20,5.1732497
WM_18004,2019-03-23 21:13:20,5.5447288
WM_33780,2019-08-04 23:43:20,7.48218
WM_9635,2019-01-15 01:43:20,9.447034
WM_2136,2018-11-16 08:53:20,9.517006
WM_34206,2019-08-08 00:53:20,6.196708
WM_26358,2019-06-09 23:23:20,6.183801
WM_40254,2019-09-23 01:13:20,7.4451046
WM_2076,2018-11-15 22:33:20,3.0769038
WM_16588,2019-03-11 17:33:20,5.3468137
WM_9829,2019-01-16 12:13:20,7.8678427
WM_22649,2019-05-12 03:13:20,4.8921885
WM_22220,2019-05-09 00:33:20,3.6356137
WM_18785,2019-03-31 16:03:20,4.052506
WM_6446,2018-12-23 10:53:20,10.46843
WM_29059,2019-06-29 17:53:20,6.9909883
WM_19253,2019-04-06 14:53:20,3.0106459
WM_37900,2019-09-05 10:03:20,4.637001
WM_25225,2019-05-31 13:13:20,3.5157237
WM_15766,2019-03-04 01:13:20,7.6839414
WM_34279,2019-08-08 13:13:20,2.5276234
WM_9194,2019-01-11 22:13:20,7.368721
WM_23326,2019-05-16 22:23:20,7.910684
WM_23542,2019-05-18 10:33:20,3.6801722
WM_12718,2019-02-07 15:33:20,6.463867
WM_4399,2018-12-06 08:53:20,5.541132
WM_23700,2019-05-19 13:33:20,5.518853
WM_29570,2019-07-03 09:13:20,3.2903848
WM_28486,2019-06-25 13:13:20,5.945755
WM_36744,2019-08-26 08:43:20,2.435088
WM_10169,2019-01-19 02:03:20,10.729676
WM_13102,2019-02-10 10:43:20,6.4708066
WM_18420,2019-03-27 00:33:20,3.4952042
WM_11345,2019-01-28 22:43:20,12.880315
WM_20937,2019-04-29 07:33:20,1.7929159
WM_19732,2019-04-16 18:43:20,2.2370858
WM_30163,2019-07-07 14:53:20,2.4635773
WM_31465,2019-07-16 23:33:20,7.6176586
WM_34020,2019-08-06 16:43:20,5.0884304
WM_37916,2019-09-05 12:43:20,3.422555
WM_25289,2019-06-01 01:33:20,3.831453
WM_10656,2019-01-22 19:33:20,11.170207
WM_33961,2019-08-06 06:53:20,4.531988
WM_38983,2019-09-13 10:53:20,2.83048
WM_29326,2019-07-01 15:43:20,6.523685
WM_22058,2019-05-07 21:03:20,7.5876813
WM_23339,2019-05-17 00:33:20,7.588734
WM_27964,2019-06-21 18:03:20,5.0789514
WM_5091,2018-12-11 09:13:20,7.908522
WM_23620,2019-05-18 23:43:20,7.1969275
WM_36479,2019-08-24 12:13:20,5.0401673
WM_5455,2018-12-15 23:03:20,8.055108
WM_33865,2019-08-05 14:23:20,7.669695
WM_28900,2019-06-28 13:33:20,2.7795942
WM_23540,2019-05-18 10:13:20,3.3081408
WM_7584,2018-12-31 11:43:20,10.399422
WM_36381,2019-08-23 19:53:20,5.132945
WM_15008,2019-02-25 02:23:20,10.87193
WM_39618,2019-09-17 21:03:20,7.8150415
WM_7827,2019-01-02 04:53:20,8.196246
WM_8199,2019-01-04 20:43:20,7.1826935
WM_38431,2019-09-09 02:33:20,7.5210648
WM_4590,2018-12-07 17:43:20,8.800772
WM_35422,2019-08-17 03:13:20,5.04434
WM_17249,2019-03-18 06:53:20,6.54397
WM_18803,2019-04-01 11:53:20,2.1623871
WM_21684,2019-05-05 06:33:20,3.8806553
WM_23629,2019-05-19 01:43:20,5.751703
WM_27869,2019-06-21 01:53:20,5.8388433
WM_36402,2019-08-23 23:23:20,9.502856
WM_3283,2018-11-27 22:23:20,3.446322
WM_15219,2019-02-26 14:33:20,10.765501
WM_951,2018-11-07 09:03:20,3.5338638
WM_19423,2019-04-07 22:23:20,6.271511
WM_31350,2019-07-16 04:03:20,6.4596577
WM_21603,2019-05-04 16:53:20,4.166703
WM_5135,2018-12-11 16:33:20,6.3976626
WM_13209,2019-02-11 05:13:20,7.074783
WM_25607,2019-06-03 17:03:20,4.40204
WM_16489,2019-03-09 09:53:20,6.4449086
WM_5693,2018-12-17 16:53:20,4.9261518
WM_21895,2019-05-06 17:53:20,5.1683846
WM_12507,2019-02-06 03:43:20,9.271567
WM_14118,2019-02-17 23:23:20,4.5086093
WM_19475,2019-04-08 08:13:20,3.2614205
WM_28476,2019-06-25 11:33:20,5.873816
WM_25735,2019-06-05 08:13:20,4.591623
WM_14038,2019-02-17 10:03:20,7.905391
WM_6742,2018-12-25 13:03:20,10.718129
WM_36701,2019-08-26 01:33:20,6.112891
WM_11056,2019-01-25 16:13:20,13.324896
WM_36288,2019-08-23 03:53:20,6.6267757
WM_13272,2019-02-11 16:53:20,5.834964
WM_7058,2018-12-27 19:43:20,12.247685
WM_30370,2019-07-09 05:33:20,5.314679
WM_6469,2018-12-23 14:43:20,12.253823
WM_22864,2019-05-13 17:03:20,4.0714283
WM_25148,2019-05-30 23:13:20,4.4125276
WM_18198,2019-03-25 09:03:20,2.9365706
WM_10849,2019-01-24 05:23:20,11.392678
WM_3926,2018-12-02 21:33:20,3.3958933
WM_5255,2018-12-12 15:03:20,8.994555
WM_14329,2019-02-19 12:43:20,6.764963
WM_16383,2019-03-08 14:23:20,7.365954
WM_10580,2019-01-22 05:53:20,7.1317096
WM_33182,2019-07-31 17:43:20,3.5544808
WM_24480,2019-05-25 03:23:20,5.8710885
WM_15670,2019-03-01 18:43:20,12.781865
WM_14649,2019-02-21 22:23:20,9.707412
WM_5140,2018-12-11 17:23:20,5.8172455
WM_1159,2018-11-09 02:03:20,2.698677
WM_2555,2018-11-22 16:33:20,2.6144104
WM_24748,2019-05-27 19:23:20,5.9494343
WM_9617,2019-01-14 22:43:20,8.51488
WM_13352,2019-02-12 06:43:20,9.654502
WM_22245,2019-05-09 04:43:20,1.7079542
WM_18952,2019-04-04 05:43:20,3.287922
WM_3759,2018-12-01 12:33:20,5.3105216
WM_33280,2019-08-01 10:53:20,2.343391
WM_29249,2019-07-01 02:43:20,5.0599337
WM_5877,2018-12-19 01:13:20,8.495137
WM_27688,2019-06-19 19:03:20,4.1800075
WM_23329,2019-05-16 22:53:20,7.3932242
WM_19710,2019-04-16 00:23:20,3.5246515
WM_811,2018-11-06 06:43:20,4.5217404
WM_34911,2019-08-13 00:13:20,6.600192
WM_26510,2019-06-11 00:53:20,5.435044
WM_37056,2019-08-28 13:03:20,3.1353662
WM_29373,2019-07-01 23:43:20,8.899425
WM_39014,2019-09-13 16:03:20,2.4525993
WM_35453,2019-08-17 08:23:20,5.109452
WM_36087,2019-08-21 18:13:20,4.8063216
WM_36999,2019-08-28 03:33:20,3.0875332
WM_17478,2019-03-19 23:43:20,7.35234
WM_849,2018-11-06 13:43:20,3.1444633
WM_18812,2019-04-01 13:23:20,2.3855953
WM_24092,2019-05-22 06:53:20,4.2721124
WM_28983,2019-06-29 04:43:20,5.0331607
WM_27400,2019-06-17 13:53:20,4.691126
WM_32614,2019-07-27 06:03:20,6.895179
WM_15065,2019-02-25 12:53:20,9.58455
WM_30600,2019-07-10 20:03:20,4.8928475
WM_762,2018-11-05 22:33:20,3.0177696
WM_26413,2019-06-10 08:33:20,3.8464484
WM_25467,2019-06-02 13:53:20,3.6847117
WM_2771,2018-11-24 05:53:20,6.884477
WM_35364,2019-08-16 17:33:20,6.2380223
WM_39420,2019-09-16 12:03:20,3.4485304
WM_39991,2019-09-21 05:23:20,5.552368
WM_34422,2019-08-09 13:23:20,2.6420188
WM_33518,2019-08-03 03:03:20,5.199495
WM_8525,2019-01-07 04:23:20,10.277406
WM_5621,2018-12-17 04:03:20,7.7990713
WM_35359,2019-08-16 16:43:20,5.2140694
WM_36285,2019-08-23 03:23:20,7.793578
WM_13613,2019-02-14 04:43:20,8.464088
WM_28019,2019-06-22 04:03:20,6.168765
WM_28763,2019-06-27 12:53:20,2.5211596
WM_4297,2018-12-05 13:23:20,8.073289
WM_25231,2019-05-31 14:23:20,4.6751986
WM_30763,2019-07-12 00:43:20,8.463717
WM_30850,2019-07-12 15:13:20,8.55131
WM_1841,2018-11-14 06:23:20,3.6122394
WM_35181,2019-08-14 21:13:20,8.737755
WM_21100,2019-04-30 10:43:20,2.561935
WM_34377,2019-08-09 05:43:20,4.6105065
WM_12208,2019-02-04 01:03:20,10.271241
WM_38604,2019-09-10 11:53:20,3.3210223
WM_13154,2019-02-10 19:23:20,2.30466
WM_5110,2018-12-11 12:23:20,11.73483
WM_36021,2019-08-21 07:13:20,3.9094832
WM_30137,2019-07-07 10:23:20,2.3152516
WM_4644,2018-12-08 02:53:20,8.884088
WM_28693,2019-06-27 01:03:20,7.988137
WM_39978,2019-09-21 03:13:20,5.839329
WM_10075,2019-01-18 09:43:20,10.660762
WM_36040,2019-08-21 10:23:20,3.9622304
WM_20067,2019-04-20 18:43:20,2.6367326
WM_35590,2019-08-18 07:13:20,4.857657
WM_27541,2019-06-18 14:13:20,4.424223
WM_3356,2018-11-28 10:53:20,5.810142
WM_24729,2019-05-27 16:13:20,5.8749943
WM_36900,2019-08-27 11:03:20,3.142594
WM_10433,2019-01-20 22:43:20,9.364934
WM_39664,2019-09-18 04:43:20,4.946138
WM_33188,2019-07-31 18:53:20,4.9912443
WM_38793,2019-09-11 19:23:20,5.11757
WM_20492,2019-04-26 02:53:20,5.5144954
WM_30070,2019-07-06 23:03:20,5.4518437
WM_9580,2019-01-14 16:33:20,8.752589
WM_25651,2019-06-04 02:13:20,5.269335
WM_29782,2019-07-04 21:13:20,8.01813
WM_2633,2018-11-23 06:03:20,9.798978
WM_19126,2019-04-05 15:53:20,3.175358
WM_33920,2019-08-05 23:43:20,7.1071362
WM_15615,2019-03-01 09:23:20,9.429213
WM_29008,2019-06-29 09:13:20,4.844625
WM_26706,2019-06-12 11:13:20,5.4491596
WM_36139,2019-08-22 02:53:20,7.5919275
WM_949,2018-11-07 08:43:20,3.378839
WM_30979,2019-07-13 13:03:20,5.512489
WM_30202,2019-07-07 21:43:20,7.6637115
WM_1306,2018-11-10 09:43:20,5.370934
WM_28576,2019-06-26 04:53:20,5.783717
WM_16086,2019-03-06 11:33:20,8.565405
WM_15079,2019-02-25 15:13:20,11.994235
WM_28543,2019-06-25 23:13:20,7.8270063
WM_4869,2018-12-09 17:33:20,6.3010435
WM_2730,2018-11-23 22:53:20,1.9853414
WM_24412,2019-05-24 13:33:20,3.8175185
WM_23124,2019-05-15 12:43:20,6.111834
WM_12369,2019-02-05 04:13:20,10.850938
WM_37220,2019-08-31 16:43:20,4.5192447
WM_7064,2018-12-27 20:43:20,11.320172
WM_32804,2019-07-29 00:53:20,8.752679
WM_13892,2019-02-16 07:43:20,8.005875
WM_2423,2018-11-21 17:23:20,3.0705237
WM_4292,2018-12-05 12:33:20,8.594349
WM_14863,2019-02-23 17:03:20,7.551017
WM_37691,2019-09-03 23:13:20,6.0208793
WM_29081,2019-06-29 21:43:20,7.8547297
WM_24585,2019-05-25 20:53:20,8.509294
WM_37934,2019-09-05 15:43:20,3.8814967
WM_33176,2019-07-31 16:43:20,3.0770323
WM_24022,2019-05-21 19:13:20,5.626112
WM_8139,2019-01-04 10:43:20,6.771123
WM_16437,2019-03-08 23:33:20,5.5403357
WM_24940,2019-05-29 06:53:20,4.238666
WM_30142,2019-07-07 11:13:20,2.68665
WM_19985,2019-04-19 08:23:20,2.8638937
WM_12837,2019-02-08 11:53:20,8.039259
WM_32053,2019-07-21 05:03:20,6.767853
WM_560,2018-11-02 04:13:20,4.226327
WM_9526,2019-01-14 06:43:20,4.2168317
WM_30781,2019-07-12 03:43:20,6.4320903
WM_31641,2019-07-18 06:03:20,6.157343
WM_613,2018-11-04 17:03:20,3.234871
WM_93,2018-10-29 12:33:20,8.925834
WM_32655,2019-07-27 13:03:20,7.777697
WM_13020,2019-02-09 19:03:20,3.6779978
WM_36514,2019-08-24 18:03:20,4.8561697
WM_23514,2019-05-18 05:53:20,5.380144
WM_31031,2019-07-13 21:43:20,7.504762
WM_10813,2019-01-23 23:03:20,8.356985
WM_8421,2019-01-06 10:23:20,8.828187
WM_29856,2019-07-05 10:13:20,3.1980703
WM_7197,2018-12-28 18:53:20,12.783396
WM_10431,2019-01-20 22:23:20,10.558774
WM_30583,2019-07-10 17:13:20,3.7130158
WM_6207,2018-12-21 08:13:20,9.931388
WM_29085,2019-06-29 22:23:20,7.1134157
WM_22303,2019-05-09 14:23:20,4.418462
WM_13690,2019-02-14 17:43:20,6.199927
WM_21369,2019-05-02 07:43:20,2.7379305
WM_30139,2019-07-07 10:43:20,2.4670122
WM_25858,2019-06-06 05:23:20,4.791857
WM_36033,2019-08-21 09:13:20,4.2080917
WM_2867,2018-11-24 21:53:20,4.2050457
WM_39693,2019-09-18 09:33:20,2.6325023
WM_7894,2019-01-02 16:03:20,10.831662
WM_6380,2018-12-22 17:33:20,10.362955
WM_15262,2019-02-26 21:43:20,9.224814
WM_15061,2019-02-25 12:13:20,9.277897
WM_32795,2019-07-28 23:23:20,8.206002
WM_21120,2019-04-30 14:03:20,2.4058893
WM_21300,2019-05-01 20:13:20,4.396369
WM_1608,2018-11-12 13:53:20,2.6984928
WM_26582,2019-06-11 13:03:20,4.030572
WM_10899,2019-01-24 13:43:20,8.865736
WM_25461,2019-06-02 12:53:20,4.652139
WM_9855,2019-01-16 17:03:20,9.372069
WM_6054,2018-12-20 06:43:20,10.390066
WM_13882,2019-02-16 05:53:20,7.7007236
WM_6449,2018-12-23 11:23:20,11.88118
WM_26314,2019-06-09 15:33:20,7.9465947
WM_20858,2019-04-28 18:23:20,1.6883736
WM_22684,2019-05-12 09:03:20,3.8601005
WM_24415,2019-05-24 14:03:20,3.342883
WM_17113,2019-03-16 09:33:20,2.2289197
WM_25483,2019-06-02 16:43:20,4.7359786
WM_3088,2018-11-26 13:23:20,5.155928
WM_10532,2019-01-21 15:53:20,13.284979
WM_6707,2018-12-25 07:13:20,9.458849
WM_19404,2019-04-07 19:03:20,4.1823955
WM_17238,2019-03-18 05:03:20,4.4207945
WM_27206,2019-06-16 03:53:20,6.2218523
WM_5349,2018-12-15 04:53:20,4.4538636
WM_27880,2019-06-21 03:43:20,5.4305077
WM_21048,2019-04-30 02:03:20,3.1732888
WM_25532,2019-06-03 02:13:20,4.238586
WM_24605,2019-05-26 00:33:20,4.701852
WM_25022,2019-05-29 20:43:20,5.862039
WM_8753,2019-01-08 19:03:20,5.059948
WM_35769,2019-08-19 13:13:20,3.363954
WM_8442,2019-01-06 14:03:20,8.535945
WM_6941,2018-12-26 22:53:20,10.5304785
WM_301,2018-10-31 07:43:20,9.395466
WM_18676,2019-03-28 22:03:20,4.303806
WM_17441,2019-03-19 16:53:20,7.017083
WM_12023,2019-02-02 18:03:20,10.818393
WM_8351,2019-01-05 22:03:20,9.111652
WM_25492,2019-06-02 18:23:20,4.1309953
WM_32147,2019-07-21 21:03:20,8.672405
WM_22168,2019-05-08 15:33:20,4.4851103
WM_4076,2018-12-03 22:33:20,8.456415
WM_36504,2019-08-24 16:23:20,3.2587965
WM_33567,2019-08-03 11:43:20,5.1437216
WM_32191,2019-07-22 04:43:20,5.1350884
WM_6144,2018-12-20 21:43:20,11.9781685
WM_12533,2019-02-06 08:03:20,8.519767
WM_1289,2018-11-10 06:53:20,2.7740061
WM_30664,2019-07-11 07:53:20,4.6026783
WM_4370,2018-12-06 01:33:20,7.82109
WM_31207,2019-07-15 03:43:20,8.088451
WM_10223,2019-01-19 11:23:20,11.03605
WM_38274,2019-09-08 00:23:20,8.499683
WM_31638,2019-07-18 05:33:20,6.064702
WM_39806,2019-09-19 04:23:20,4.468119
WM_15731,2019-03-03 19:23:20,9.43177
WM_16814,2019-03-13 12:43:20,2.5012836
WM_20049,2019-04-19 20:33:20,6.36356
WM_39063,2019-09-14 00:13:20,6.1066775
WM_38964,2019-09-12 23:53:20,7.3080044
WM_35974,2019-08-20 23:23:20,6.8536024
WM_25206,2019-05-31 10:03:20,2.1965475
WM_5384,2018-12-15 11:13:20,6.986091
WM_5932,2018-12-19 10:23:20,9.791567
WM_7925,2019-01-02 21:13:20,12.60226
WM_30414,2019-07-09 12:53:20,4.6436357
WM_37032,2019-08-28 09:03:20,2.4672894
WM_35905,2019-08-20 11:53:20,4.603426
WM_29070,2019-06-29 19:43:20,7.9200716
WM_12463,2019-02-05 20:23:20,8.979482
WM_29549,2019-07-03 05:43:20,3.677438
WM_22469,2019-05-10 21:13:20,4.919909
WM_33917,2019-08-05 23:13:20,7.2781157
WM_1581,2018-11-12 09:23:20,4.1285853
WM_15306,2019-02-27 05:03:20,10.981281
WM_15631,2019-03-01 12:13:20,13.393898
WM_20548,2019-04-26 12:13:20,2.8451827
WM_10299,2019-01-20 00:03:20,11.028749
WM_32695,2019-07-27 20:53:20,7.3341327
WM_18825,2019-04-02 09:33:20,2.525961
WM_10118,2019-01-18 17:03:20,12.021243
WM_23739,2019-05-19 20:03:20,5.0784173
WM_8440,2019-01-06 13:43:20,7.0038314
WM_9406,2019-01-13 09:53:20,4.483132
WM_33698,2019-08-04 10:03:20,4.9621077
WM_30991,2019-07-13 15:03:20,4.8410373
WM_14094,2019-02-17 19:23:20,8.110157
WM_23672,2019-05-19 08:53:20,3.1834419
WM_11850,2019-02-01 12:43:20,10.1547365
WM_8487,2019-01-06 21:53:20,5.6900578
WM_36270,2019-08-23 00:53:20,8.106888
WM_16170,2019-03-07 02:03:20,9.697893
WM_9576,2019-01-14 15:53:20,8.191202
WM_1623,2018-11-12 16:23:20,3.4294665
WM_5489,2018-12-16 04:43:20,6.5018916
WM_2453,2018-11-21 22:23:20,5.37348
WM_30182,2019-07-07 18:03:20,3.0095284
WM_8391,2019-01-06 04:43:20,7.902017
WM_11730,2019-01-31 15:43:20,9.409109
WM_13323,2019-02-12 01:23:20,7.2948656
WM_9284,2019-01-12 13:23:20,5.005814
WM_21940,2019-05-07 01:23:20,5.0434155
WM_3240,2018-11-27 15:03:20,2.8707643
WM_32563,2019-07-26 21:23:20,8.108632
WM_839,2018-11-06 12:03:20,5.422725
WM_8243,2019-01-05 04:03:20,7.3262362
